transaction_id,customer_id,timestamp,amount,currency,payment_method,merchant_category,device_id,ip_address,country,customer_age_of_account,historical_average_amount,transactions_last_10_minutes,transactions_last_1_hour,transactions_last_24_hours,device_changed_recently,location_changed_recently,previous_chargebacks,previous_failed_transactions,account_velocity,is_fraud
1bd9c755-6491-4ba5-abd0-4e2f1f8f6acb,56828992-48b2-4424-b566-7f1e773da974,2023-01-01T00:20:00,48.46,USD,PayPal,Travel,00dd1954-bce2-4420-a8e7-8fffa968a432,161.11.0.0,UK,1367,35.98,3,3,7,0,0,0,1,0.1893,0
4fd48f4d-8e7a-4c9d-8676-b4f9e289a1f4,772c008e-fe4f-41e2-a25e-739405fed221,2023-01-01T00:50:00,113.18,USD,Credit Card,Retail,d3c27704-7be7-4345-89fa-ce2919fb16eb,222.222.0.0,JP,763,113.18,4,7,10,1,0,0,2,0.0876,1
1ee309b5-22db-4d41-9aa7-7bbe9cefd93f,9d2d1bf1-9674-4dc6-8d63-33bb0d053842,2023-01-01T01:20:00,63.56,USD,Debit Card,Services,5dfc1179-c4e2-46af-b6b3-274ca67f4a04,103.202.0.0,UK,574,58.3,0,1,3,0,0,0,0,0.0506,0
1e3de5af-2c02-46f1-8cad-d0b9069e527e,71672cfb-b1f0-458f-b604-a7ec711a9de1,2023-01-01T01:47:00,114.43,USD,Debit Card,Travel,0215eaf8-8f5d-4c23-8ba7-b49028b98f18,11.29.0.0,DE,2922,118.77,3,5,10,0,0,0,0,0.0835,0
623afaad-603d-4467-bb6c-c257e82c92c2,2b4fcaa8-014c-4da5-a58b-d915b1fb5797,2023-01-01T02:00:00,213.43,USD,PayPal,Retail,27d95e8f-27c5-4d48-9253-8ffcc548c50d,18.24.0.0,UK,127,200.34,0,1,6,0,0,0,1,0.0298,0
c73d158b-57f1-48bb-9cba-29def500f648,bbb7e5f4-95bf-4566-bfa5-577a0db3db2c,2023-01-01T02:07:00,18.9,USD,Crypto,Travel,d6960c5f-93be-426c-8373-56deca04a05f,158.85.0.0,US,322,15.92,3,5,9,0,0,0,1,0.5319,0
5e5ba4df-49bd-4a57-ba5b-5310b8748e1b,37d01a55-6e56-4506-96d0-169fb48b4273,2023-01-01T02:22:00,37.7,USD,Credit Card,Retail,2785d7b5-8569-48ea-bec2-2879d84ee755,193.239.0.0,DE,2267,30.66,4,4,9,0,0,0,1,0.2843,0
b722c75a-dae9-4e7e-8e51-a74604fc8a9a,4a72edd1-1a41-4070-9095-784edf923d8d,2023-01-01T03:54:00,30.56,USD,Crypto,Digital Goods,2a85474d-ebbd-4630-baa1-3960f32f5103,99.168.0.0,FR,1269,42.85,2,3,5,0,0,0,1,0.114,0
047d6cc9-71c3-42be-b486-5971ff64fca1,6f8352b6-17f2-4b31-b00f-29fec67fdc9b,2023-01-01T04:14:00,25.09,USD,PayPal,Travel,09796410-f55d-4860-bc81-f489d6027a04,64.154.0.0,DE,273,25.87,0,0,0,0,1,0,0,0.0,0
4aa284e6-0303-4fc9-add4-2bbf5b753aa9,167a17c7-998c-4fd8-9b7f-4686d505fa16,2023-01-01T04:24:00,167.85,USD,Credit Card,Digital Goods,f9e93710-6b5e-431b-88ef-6c43c5dc1a57,86.210.0.0,UK,3413,182.52,1,3,3,1,0,0,0,0.0163,0
5a2333fa-5c53-48ce-bf4a-434383c7a236,b861b0ca-c7d3-4053-95e2-e087f59a6b94,2023-01-01T04:38:00,46.78,USD,Debit Card,Travel,33c56148-dacd-4bba-ba64-9a0b8936337e,62.73.0.0,UK,2307,49.34,1,2,4,0,0,0,0,0.0795,0
e1698a37-8847-4603-8f7f-8395986ab410,9ef9385f-bfac-4061-8975-43e9b55df570,2023-01-01T06:13:00,31.32,USD,Credit Card,Groceries,2e2e9693-5d04-490a-9d43-644d4294836d,39.148.0.0,FR,1558,17.51,3,5,5,0,0,0,0,0.2701,0
1f41691c-f8f4-46ad-8dd6-e74b472a4405,566c1b5a-45e6-41e5-9b91-c378f47d2adb,2023-01-01T06:52:00,54.61,USD,Credit Card,Travel,120811d5-19bb-4a8b-bbfc-4c66ced35287,198.14.0.0,CA,936,47.38,3,3,6,0,0,0,0,0.124,0
